Title	IMDB	Budget	 Dom  Box  Office 	 Intl  Box  Office 	Score	Year	Writers	Directors	Producers	 Female  Character  Percentage 	 Female  Talk  Percentage 	 Female  Writer  Percentage 	 Female  Director  Percentage 	 Female  Producer  Percentage 	 Overall  Female  Production  Percentage 
 Die  Hard  2 	99423	-6	-4	433114432.6	3	1990				-6	-7	-8	-5	-5	-5
 Edward  Scissorhands 	99487	-6	-4	97484757.67	3	1990				-6	-7	-8	-5	-5	-5
Flatliners	99582	-6	-4	110725158.8	3	1990				-6	-7	-8	-5	-5	-5
Ghost	99653	-6	-4	934807839.7	2	1990				-6	-7	-8	-5	-5	-5
Goodfellas	99685	-6	-4	84421327.87	2	1990				-6	-7	-8	-5	-5	-5
 Home  Alone 	99785	-6	-4	860913004.8	2	1990				-6	-7	-8	-5	-5	-5
 The  Hunt  for  Red  October 	99810	-6	-4	362111614.8	1	1990				-6	-7	-8	-5	-5	-5
 Dark  Angel  (I  Come  in  Peace) 	99817	-6	-4	7897033.34	0	1990				-6	-7	-8	-5	-5	-5
Nikita	100263	-6	-4	9062671.375	3	1990				-6	-7	-8	-5	-5	-5
 Predator  2 	100403	-6	-4	98914116.05	2	1990				-6	-7	-8	-5	-5	-5
 Pretty  Woman 	100405	-6	-4	781377033.9	3	1990				-6	-7	-8	-5	-5	-5
 Total  Recall 	100802	-6	-4	358709022.4	1	1990				-6	-7	-8	-5	-5	-5
Tremors	100814	-6	-4	30101470.05	3	1990				-6	-7	-8	-5	-5	-5
 The  Addams  Family 	101272	-6	-4	331868541.1	3	1991				-6	-7	-8	-5	-5	-5
 Beauty  and  the  Beast 	101414	-6	-4	782302242	3	1991				-6	-7	-8	-5	-5	-5
 Bill  &amp;  Ted&#39;s  Bogus  Journey 	101452	-6	-4	65051840.36	1	1991				-6	-7	-8	-5	-5	-5
Hook	102057	-6	-4	521373787.5	2	1991				-6	-7	-8	-5	-5	-5
 Hudson  Hawk 	102070	-6	-4	29839945.75	3	1991				-6	-7	-8	-5	-5	-5
 The  Naked  Gun  2  1/2:  The  Smell  of  Fear 	102510	-6	-4	150648200.2	1	1991				-6	-7	-8	-5	-5	-5
 Robin  Hood:  Prince  of  Thieves 	102798	-6	-4	676726609.2	3	1991				-6	-7	-8	-5	-5	-5
 The  Silence  of  the  Lambs 	102926	-6	-4	477827414.3	3	1991				-6	-7	-8	-5	-5	-5
Slacker	102943	-6	-4	2127240.034	3	1991				-6	-7	-8	-5	-5	-5
 Star  Trek  VI:  The  Undiscovered  Country 	102975	-6	-4	167925245.2	2	1991				-6	-7	-8	-5	-5	-5
 Teenage  Mutant  Ninja  Turtles  II:  The  Secret  of  the  Ooze 	103060	-6	-4	136310264.9	3	1991				-6	-7	-8	-5	-5	-5
 Terminator  2:  Judgement  Day 	103064	-6	-4	895629298.4	3	1991				-6	-7	-8	-5	-5	-5
 White  Fang 	103247	-6	-4	60184635.3	1	1991				-6	-7	-8	-5	-5	-5
Aladdin	103639	-6	-4	847725911.5	0	1992				-6	-7	-8	-5	-5	-5
 Alien  3 	103644	-6	-4	266569782	0	1992				-6	-7	-8	-5	-5	-5
 Batman  Returns 	103776	-6	-4	448752637.6	0	1992				-6	-7	-8	-5	-5	-5
 Buffy  the  Vampire  Slayer 	103893	-6	-4	23935223.06	3	1992				-6	-7	-8	-5	-5	-5
 The  Crying  Game 	104036	-6	-4	105192800.1	2	1992				-6	-7	-8	-5	-5	-5
 Death  Becomes  Her 	104070	-6	-4	250630506.7	3	1992				-6	-7	-8	-5	-5	-5
 A  Few  Good  Men 	104257	-6	-4	397752387.2	1	1992				-6	-7	-8	-5	-5	-5
 Glengarry  Glen  Ross 	104348	-6	-4	18037992.07	0	1992				-6	-7	-8	-5	-5	-5
Hero	104412	-6	-4	112324556	1	1992				-6	-7	-8	-5	-5	-5
 Home  Alone  2:  Lost  in  New  York 	104431	-6	-4	603767690.2	1	1992				-6	-7	-8	-5	-5	-5
 A  League  of  Their  Own 	104694	-6	-4	222741448.5	3	1992				-6	-7	-8	-5	-5	-5
 Malcolm  X 	104797	-6	-4	81013516.82	3	1992				-6	-7	-8	-5	-5	-5
 El  Mariachi 	104815	-6	-4	3434172.746	0	1992				-6	-7	-8	-5	-5	-5
 The  Mighty  Ducks 	104868	-6	-4	85356715.04	1	1992				-6	-7	-8	-5	-5	-5
 The  Muppet  Christmas  Carol 	104940	-6	-4	45882810.18	1	1992				-6	-7	-8	-5	-5	-5
 My  Cousin  Vinny 	104952	-6	-4	89017771.64	1	1992				-6	-7	-8	-5	-5	-5
 The  Player 	105151	-6	-4	48565653.62	3	1992				-6	-7	-8	-5	-5	-5
 Reservoir  Dogs 	105236	-6	-4	4762986.938	0	1992				-6	-7	-8	-5	-5	-5
 Wayne&#39;s  World 	105793	-6	-4	307938255.1	1	1992				-6	-7	-8	-5	-5	-5
 The  Age  of  Innocence 	106226	-6	-4	52290740.04	3	1993				-6	-7	-8	-5	-5	-5
 Army  of  Darkness 	106308	-6	-4	36164313.32	2	1992				-6	-7	-8	-5	-5	-5
Cliffhanger	106582	-6	-4	416496696.7	1	1993				-6	-7	-8	-5	-5	-5
 Cool  Runnings 	106611	-6	-4	253256554.7	1	1993				-6	-7	-8	-5	-5	-5
 Dazed  and  Confused 	106677	-6	-4	12986349.29	3	1993				-6	-7	-8	-5	-5	-5
 The  Fugitive 	106977	-6	-4	577730436.1	2	1993				-6	-7	-8	-5	-5	-5
Gettysburg	107007	-6	-4	17528789.31	0	1993				-6	-7	-8	-5	-5	-5
 Groundhog  Day 	107048	-6	-4	115813804.2	2	1993				-6	-7	-8	-5	-5	-5
 Hocus  Pocus 	107120	-6	-4	64288291.99	3	1993				-6	-7	-8	-5	-5	-5
 Jurassic  Park 	107290	-6	-4	1691510476	3	1993				-6	-7	-8	-5	-5	-5
 Mrs.  Doubtfire 	107614	-6	-4	720761421.9	3	1993				-6	-7	-8	-5	-5	-5
 The  Remains  of  the  Day 	107943	-6	-4	104458953.1	0	1993				-6	-7	-8	-5	-5	-5
 Schindler&#39;s  List 	108052	-6	-4	524892930.5	3	1993				-6	-7	-8	-5	-5	-5
 Super  Mario  Bros. 	108255	-6	-4	34046411.56	3	1993				-6	-7	-8	-5	-5	-5
Tombstone	108358	-6	-4	92290874.13	3	1993				-6	-7	-8	-5	-5	-5
 Ace  Ventura:  Pet  Detective 	109040	-6	-4	170689921.8	2	1994				-6	-7	-8	-5	-5	-5
 Beverly  Hills  Cop  III 	109254	-6	-4	189735861.8	0	1994				-6	-7	-8	-5	-5	-5
   Canadian    Bacon   	109370	-6	-4	341425	1	1995	"  [['Michael    Moore',    'm']]  "	"  [['Michael    Moore',    'm']]  "	"  [['David    Brown',    'm'],    ['Freddy    De    Mann',    'm'],    ['Kathleen    Glynn',    'f'],    ['Gregory    Goodman',    'm'],    ['Michael    Moore',    'm'],    ['Ron    Rotholz',    'm'],    ['Sigurjon    Sighvatsson',    'm']]  "	-1.5	-1.5	0	0	0.142857143	0.111111111
Clerks.	109445	-6	-4	6199624.294	1	1994				-6	-7	-8	-5	-5	-5
 The  Client 	109446	-6	-4	187243226.8	3	1994				-6	-7	-8	-5	-5	-5
