person1	 person1  av 	person2	 person2  av 	sharedTitles	numSharedTitles
 Julia  Pistor 	2.2857142857142856	 Eryk  Casemiro 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  ',  '  The    Rugrats    Movie  '] 	4	3.0
 Julia  Pistor 	2.2857142857142856	 Arlene  Klasky 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  ',  '  The    Rugrats    Movie  '] 	4	3.0
 Julia  Pistor 	2.2857142857142856	 Albie  Hecht 	2.6666666666666665	 ['  Rugrats    in    Paris:  ',  '  Rugrats    Go    Wild  ',  '  The    Wild    Thornberrys    Movie  ',  "  Lemony    Snicket's    A    Series    of    Unfortunate    Events  ",  '  The    Rugrats    Movie  '] 	5	3.0
 Julia  Pistor 	2.2857142857142856	 Tracy  Kramer 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  '] 	3	3.0
 Gabor  Csupo 	3.0	 Kate  Boutilier 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  '] 	3	3.0
 Gabor  Csupo 	3.0	 Norton  Virgien 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  ',  '  The    Rugrats    Movie  '] 	4	3.0
 Gabor  Csupo 	3.0	 Eryk  Casemiro 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  ',  '  The    Rugrats    Movie  '] 	4	3.0
 Gabor  Csupo 	3.0	 Arlene  Klasky 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  ',  '  The    Rugrats    Movie  '] 	4	3.0
 Gabor  Csupo 	3.0	 Albie  Hecht 	2.6666666666666665	 ['  The    Rugrats    Movie  ',  '  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  '] 	4	3.0
 Gabor  Csupo 	3.0	 Tracy  Kramer 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  '] 	3	3.0
 Kate  Boutilier 	3.0	 Norton  Virgien 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  '] 	3	3.0
 Kate  Boutilier 	3.0	 Eryk  Casemiro 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  '] 	3	3.0
 Kate  Boutilier 	3.0	 Arlene  Klasky 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  '] 	3	3.0
 Kate  Boutilier 	3.0	 Albie  Hecht 	2.6666666666666665	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  '] 	3	3.0
 Kate  Boutilier 	3.0	 Tracy  Kramer 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  '] 	3	3.0
 Norton  Virgien 	3.0	 Eryk  Casemiro 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  ',  '  The    Rugrats    Movie  '] 	4	3.0
 Norton  Virgien 	3.0	 Arlene  Klasky 	3.0	 ['  Rugrats    in    Paris:  ',  '  The    Wild    Thornberrys    Movie  ',  '  Rugrats    Go    Wild  ',  '  The    Rugrats    Movie  '] 	4	3.0
